PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI
68,103,1.45,18.02,10.75,10.48,0.1,9.5,106.35,0.18,2.82,0.05,259
88.25,135.25,1.75,30.03,17.4,11.35,0.1,10.45,87.2,0.25,3.38,0.18,259
92,135.5,0.5,19.83,10.92,11.58,0.1,11.65,103.38,0.2,4.4,0.13,259
95.75,136.25,0.5,17.15,9.53,12.67,0.1,12.1,105.85,0.2,4.83,0.1,192
91.5,133.25,0.1,18.75,10,12.45,0.1,11.58,99.48,0.2,4.43,0.1,154
105.5,142,,15.03,7.92,12.97,0.1,12.07,81.85,0.25,3.23,0.05,156
106,139.25,0.1,14.1,7.55,12.6,0.1,15.15,86.23,0.3,1.6,0,157
85.5,121.25,0.2,13.62,7.4,11.35,0.1,17.08,113.17,0.28,1.28,0,158
80,114,0.97,14.27,8.35,11.4,0.1,18.12,109.28,0.25,1.38,0,158
82.5,121.75,2.97,35.22,21.18,10.15,0.1,15.58,86.73,0.23,2.18,0.08,160
82.25,133.5,2.5,24.32,14.95,10.98,0.1,15.48,103.9,0.2,3.4,0.1,161
75.75,129.5,1.45,14.97,9.18,10.85,0.1,18.2,141.6,0.2,2.4,0.05,161
70.5,115,1.7,15.92,9.88,10.4,0.1,18.45,150.92,0.2,1.3,0.05,175
66,121,1.7,18.1,11.05,9.9,0.1,17.15,155.8,0.2,1.3,0,182
62.25,118.5,2.27,17.78,11.28,7.65,0.1,125.3,147.97,0.2,1.37,0,182
57.5,104.25,149.2,117.72,182.55,,0.1,14.95,145.03,0.15,1.7,0,182
49.75,91.5,1.53,15.48,9.48,13.85,0.03,11.12,149.92,0.1,1.77,0,182
51,90.75,1.6,15.65,9.65,13,0.1,9.03,157.27,0.1,2.2,0,184
58,102.75,1.23,14.7,8.8,11.4,0.1,11.88,159.78,0.1,2.48,0,188
67.25,115.5,0.77,16.5,9.38,11.53,0.1,15.75,179.35,0.13,2.27,0,228
105.5,170.5,1.85,30.95,17.95,14.35,0.1,18.38,178.88,0.25,2.55,0.05,228
129.5,202.5,1.67,44.75,25.18,14.4,0.1,19.88,153.38,0.38,3.18,0.2,228
144.75,230,1.5,39.77,22.38,19.7,0.08,19.5,134.25,0.48,3.9,0.38,228
144.75,223.25,0.98,33.88,18.8,25.42,0.08,11.15,119.55,0.5,4.57,0.1,228
128.5,186.75,1,34.58,19.18,17.12,0.3,12.95,110.75,0.43,5.48,0.18,228
125.5,186.25,1.05,25.5,14.45,16.05,0.1,12.4,115.12,0.38,3.82,0.2,228
121,169,1.18,21.25,12.22,14.75,0.1,12.62,118.57,0.3,2.85,0.1,228
117.75,158,0.25,17.47,9.47,14.68,0.1,11,123.48,0.3,2.8,0.1,227
108,152,0.25,23.78,12.85,13.85,0.1,11.17,120.55,0.3,3.88,0.03,209
107.5,154.5,0.35,32.58,17.62,13.95,0.1,9.02,61.75,0.3,4.15,0.03,209
116.75,171.5,0.28,35.02,18.87,16.6,0.1,8.67,64.67,0.3,5.15,0.05,211
120.5,162,0.75,23.65,13.17,24.35,0.15,7.45,99.95,0.3,5.25,0.05,216
124.75,167.25,1.15,27.15,15.35,25.6,0.35,8.62,108.8,0.35,4.55,0,222
144.25,197.5,2.47,42.03,24.38,20.38,0.4,13.93,94.55,0.43,6.1,0.08,230
118.75,182,3.57,50.3,29.68,21.68,0.3,18.3,95.55,0.35,5.55,0.1,236
104.75,169.5,0.9,23.48,13.23,14.12,0.28,25.82,132.3,0.25,5.5,0.1,240
106.5,167.25,1.1,19.8,11.43,12.65,0.1,27.82,136.7,0.3,4.27,0.08,245
88.5,130.25,0.98,14.35,8.45,11.28,0.1,17.65,138.68,0.25,2.77,0,248
63.5,102,1.23,15,9,9.15,0.1,11.43,135.72,0.2,2.3,0,248
53,84.25,0.65,10.73,6.25,10.13,0.1,11,134.75,0.13,2.33,0,247
44.25,74,1.08,12.45,7.52,11.92,0.1,8.28,136.7,0.1,2.53,0,246
44.75,71.5,0.78,12.4,7.25,11.58,0.1,8.28,141.13,0.1,3.07,0,246
45,82,1.1,12.53,7.53,11.13,0.1,9.1,140.63,0.1,3.27,0,244
48,83,0.57,12.38,7.05,10.23,0.1,7.7,129.38,0.1,3.07,0,241
51.25,91.5,1.12,15.18,8.95,9.62,0.1,6.8,111.73,0.1,2.4,0,234
64.25,112.5,1.5,20.23,11.97,11.27,0.1,8.05,104.38,0.18,2.72,0.05,225
75.25,125.25,0.2,21.15,11.4,12.2,0.08,8.9,109.75,0.2,3.7,0.18,215
77,117.5,0.63,16.3,9.17,14.92,0.2,6.85,108.28,0.2,4.12,0.05,205
71,101.25,0.75,12.2,7.1,13.8,0.13,7.25,116.62,0.2,4.38,0,197
75,107,0.45,20.12,11.08,14.75,0.1,8.12,90.67,0.23,4.9,0.03,190
89,125.5,0.65,24.53,13.58,15.35,0.27,8.5,80.35,0.35,5.08,0.1,186
90.5,125.75,0.53,22.1,12.2,18.62,0.08,4.8,87.7,0.4,4.98,0.15,182
88,113,0.62,28.65,15.75,25.05,0.03,1.18,91.62,0.4,4.33,0,179
84.5,104.5,0.42,40.9,22.07,24.6,0.08,,69.07,0.3,3.45,0.03,176
84,107.75,1.68,43.07,24.25,23.12,0.18,0.05,69.1,0.38,4.55,0.1,172
89,119.5,1.52,55.02,30.5,22.42,0.55,0.08,75.95,0.4,5.27,0.15,167
98,139.75,0.58,40.13,20.93,16.7,0.85,1.72,123.48,0.4,4.97,0.13,164
