PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI
17,40,1.6,9.4,6.3,9.9,0.56,25.9,24.7,0.1,1.3,0.1,50
24.5,37,1.27,8.45,5.53,9.62,0.57,25.77,21.62,0.05,1.12,,45
23,33,1.8,9.1,6.3,9.3,0.68,23.8,18.6,0,1.1,,37
19,35,1.95,8.25,6,9.6,0.43,1.9,7.8,0.1,1.25,,36
24,31,1.65,7.6,5.4,8.95,0.4,25.15,17.8,0,0.7,,36
11,24,1.8,5.9,4.55,9.25,0.4,28.8,20.5,0,0.3,,36
9,10,1.95,8.38,6.03,9.48,0.56,19.85,19.4,0,0.4,,35
16.5,28.5,2.5,8.4,6.5,9.45,0.55,20.25,21.45,0,0.45,,35
8,17,2.05,7.55,5.65,9.4,0.56,20.55,31.15,0,0.3,,34
12.5,27,2.23,5.97,4.97,9.45,0.46,23.48,34.4,0.03,0.3,,34
14,27,3.3,5.7,5.7,9.7,0.44,24.3,39.2,0.1,0.3,,39
13.5,28.5,1.5,5.6,4.2,9,0.42,7.4,43,0.1,0.3,,43
15,31,3.1,6.8,6.2,10.6,0.4,,45.3,0.1,0.2,,45
20.5,36,2.1,6.9,5.35,11.4,0.43,34.1,48.1,0.1,0.2,,48
13.5,27.5,1.95,9.8,6.85,21.65,0.46,21.5,43.75,0.1,0.2,,48
1,14,2.6,10.8,7.8,12.6,0.22,30.6,46.8,,,,48
16.5,33,2.4,6.4,5.35,9,0.51,43.65,41.15,0.1,0.2,,48
17.25,35.25,2.73,6.02,5.4,8.3,0.37,33.95,30.62,0.05,0.2,,48
9.5,33.5,2.95,4.85,4.97,8.8,0.54,13.8,26.65,0.1,0.25,,48
,,,,,,,,,,,,48
16,32,2.85,6.1,5.55,8.7,0.69,33.7,20.7,0.25,0.55,,48
17,26,1.7,6.5,4.9,8.8,0.53,35.1,18.5,0.15,0.4,,47
17,24,1.6,5.7,4.3,8.8,0.47,41.2,17.1,0,0.3,,47
16,23.25,1.33,5.68,4.12,8.6,0.5,32.35,16,0.03,0.32,,41
13.5,19,1.55,5.15,4,8.55,0.55,18.15,14.8,0,0.2,,34
14,17,1.7,4.8,3.92,8.2,0.54,18.45,14.7,0.03,0.28,,34
17,24,1.75,5.05,4.1,7.9,0.55,19.75,15.3,0,0.2,,34
13,17,1.77,4.32,3.75,8.12,0.32,17.07,8.03,0,0.2,,34
,,,,,,,,,,,,32
10.5,19,1.5,3.83,3.2,8.05,0.39,22.45,16.8,0,0.1,,32
12,15,2,4.1,3.8,8.5,0.52,19.1,19.2,0,0.2,,32
12,18,1.9,4.85,4.15,9.9,0.58,13.8,23.8,0,0.15,,31
13.75,20.75,2.23,4.1,4,9.47,0.58,18.55,23.4,0,0.2,,31
,,,,,,,,,,,,31
10,18,1.7,4.7,3.9,8.2,0.49,10.6,31.4,0,0.2,,31
14,26,1.4,3.9,3.2,9,0.46,7.3,34.2,0.1,0.15,,34
11,27,2.25,5.3,4.6,12.8,0.39,16.1,36.65,0.1,0.15,,37
9.5,28,1.52,4.62,3.67,8.12,0.21,22.55,39,0.1,0.15,,39
10,30,2,4.3,3.9,7.2,0.25,7.6,42.1,0.1,0.1,,42
14,27,1.62,4.4,3.65,8.15,0.49,15,41.95,0.1,0.1,,42
15,30.5,2.05,4.15,3.9,7.45,0.52,41.05,41.15,0.1,0.1,,42
14,34.5,1.7,4.9,3.95,7.1,0.53,14.1,31.55,0,0.2,,42
13,33,1.9,6.03,4.75,7.4,0.47,27.25,27.38,0.1,0.23,,42
16,36,2.1,7.25,5.6,8,0.66,40.55,21.45,0.1,0.45,,42
20,42,1.9,8.45,6.05,8.8,0.68,41.55,20,0.05,1.25,0.2,42
18,36,1.8,7.9,5.7,8.8,0.61,42,19.6,0,1.1,0.1,42
19.5,32.5,1.38,5.42,4.03,8.88,0.52,46.95,20.95,0,0.28,,42
19,33,1,4.2,3.1,9.2,0.46,50.1,21.8,0,0.2,,41
19,44,1.4,4.7,3.6,9.15,0.56,16.9,19.7,0,0.3,,34
24,38.5,1.75,4.8,4,9.7,0.72,19.95,18.25,0.05,0.3,,36
,,,,,,,,,,,,36
26,40.75,1.5,4.85,3.8,10.3,0.45,11.77,8.18,0.05,0.38,,36
23,31,1.8,4.95,4.05,10.3,0.47,18.6,15.4,0,0.2,,36
25,39,2,6,4.85,11.3,0.53,18.8,16.8,0.1,0.55,,36
30,42.5,1.85,6.65,5,12.25,0.57,21.05,17,0.1,0.65,,36
29.5,45.5,1.9,6.4,4.9,12.75,0.52,21.6,21.25,0.1,0.85,,36
26,47,1.3,5.3,3.9,12.6,0.5,22.3,26.1,0,0.5,,36
25,37,1.9,3.4,3.4,11.6,0.37,20.6,30.6,0,0.1,,35
20.5,37,1.05,3.15,2.55,11,0.38,20.65,34.7,0.05,0.1,,36
19,37,1.5,3.05,2.8,10.75,0.33,20.15,36.95,0,0.12,,37
21.5,39,0.8,4.1,2.9,10.1,0.38,25.4,38.9,0.05,0.15,,39
23,42,1.6,3.4,3.1,9.9,0.38,25.9,38,0,0,,39
25,38,1.1,3.4,2.65,9.25,0.39,29.4,42.8,0,0.1,,43
26.75,38.75,1.42,3.03,2.77,8.9,0.34,31.3,39.85,0.1,0.08,,43
25,43,1.8,2.8,3,8.5,0.42,32.3,36.1,0.1,0,,43
25,43,1.5,2.8,2.7,8.5,0.4,30.1,37,0.1,0.1,,43
28,48,1.1,3,2.5,8.5,0.53,15.85,34.5,0.25,0.1,,43
29,63,1.65,3.85,3.4,8.9,0.57,17.5,26.95,0.1,0.15,,43
37,58,1.1,4.6,3.3,8.9,0.62,15.6,25.3,0,0.2,,43
34.5,54.5,1.15,3.85,3,9.5,0.6,20.25,27,0,0.25,,43
,,,,,,,,,,,,43
42,66,1.6,4.5,3.7,9.8,0.61,16.5,24.1,0,0.2,,44
45,70,1.68,4.7,3.83,9.75,0.54,21.8,24.1,0,0.2,,46
38.5,61.5,0.95,3.4,2.6,10.05,0.52,19.95,24,0,0.2,,47
,,,,,,,,,,,,47
39.5,63,1.3,5.65,4.05,10.25,0.52,18.4,11.05,0.1,0.45,,48
38,59,1.5,7,4.9,10,0.52,19.7,13.7,0.1,0.6,,49
40,61.5,1.3,5.95,4.2,10.4,0.56,20.45,17.9,0.1,0.45,,51
43,60,1.43,5.82,4.25,10.15,0.6,19.9,17.8,0.1,0.53,,52
40,65,1.8,4.7,4,9.2,0.5,24.1,25.5,0,0.6,,52
24,51,1.77,3.7,3.4,9.22,0.49,23.68,29.55,0,0.2,,52
22,36.25,1.05,4.35,3.17,8.67,0.47,23.55,34.3,0,0.23,,52
18,56,1.6,4,3.4,8.4,,21.7,39.8,0.1,0.3,,52
18.5,50,,,,,0.34,20.55,40.6,0.1,0.2,,53
19,44,2.9,3.4,4.2,8.6,0.34,19,41,0.1,0.2,,53
16.5,41,1.55,3.9,3.3,8.1,0.32,18.7,41.1,0.1,0.3,,53
14,42,1.6,3.7,3.3,7.9,0.32,21.7,42.5,0.1,0.3,,53
18,43,1.5,3.6,3.2,7.4,0.3,20.9,42.7,0.1,0.2,,54
17,39,1.1,3.6,2.8,7.2,0.31,16.5,40.6,0,0.1,,53
15,41,1.05,3.6,2.75,7.7,0.32,14.45,38.4,0.15,0.15,,53
15.75,42,1.52,3.95,3.35,6.75,0.42,39.3,34.65,0.03,0.3,,53
15,39,1.9,4.75,4.05,6.85,0.45,41.9,30.1,0.15,0.3,,52
19,44,1.8,6.1,4.8,7.7,0.54,40.3,25.9,0.1,0.4,,51
18,49,1.3,5.8,4.1,7.9,0.46,39.1,23.3,0.1,0.5,,51
22.5,49.25,1.7,6.22,4.7,7.75,0.48,39.92,21.25,0.05,0.65,0.1,51
,,,,,,,,,,,,50
34,58,0.85,5.25,3.5,9.25,0.56,20,19.8,0.25,1.7,0.1,50
34.5,59.25,1.48,4.03,3.33,8.03,0.48,20.07,21.15,0.05,0.32,,50
15,33,1.45,4.7,3.7,7.8,0.53,19.2,19.8,0.05,0.3,,49
18.5,46,0.95,5.85,3.9,7.85,0.43,16.3,13.9,0.1,0.4,0.3,48
17,41.5,1.27,6.38,4.47,7.53,0.42,19.7,15.4,0.1,0.4,0.17,47
18,40,1.3,6.6,4.5,7.9,0.42,18.1,16.5,0.1,0.4,0.1,46
20,37,1.35,5.05,3.8,7.8,0.48,14.2,16.2,0.1,0.45,0.1,45
17,32,2.2,6.4,5.2,8,0.53,18.2,20.6,0.1,0.7,0.1,44
18,45,1.2,4.8,3.5,7.7,0.44,18.4,31.6,0,0.6,,44
16,33,1.7,3.6,3.3,7.8,0.44,14.5,31.2,0.1,0.3,,44
13,35.75,1.8,3.95,3.53,7.4,0.3,16.1,35.45,0.12,0.3,,43
,,,,,,,,,,,,42
16,39,1,4.5,3.2,7.5,0.26,24.2,41,0.1,0.3,,42
15,31,1.5,3.7,3.2,7.3,0.22,26.1,44.5,0.1,0.3,,44
11.75,38.25,0.97,3.77,2.8,7,0.24,22.88,45.35,0.1,0.3,,45
11,36,1.15,4.07,3.08,6.7,0.56,21.55,46.8,0.1,0.23,,47
16,39.5,1.45,3.95,3.3,6.7,0.57,23.7,48.6,0.1,0.2,,49
16,39,1.52,3.67,3.17,7.1,0.54,24.77,46,0.1,0.25,,49
12.5,36,2.1,4.88,4.28,7.1,0.58,23.7,32.98,0.08,0.23,,49
12.5,36.5,1.35,4.55,3.55,7.35,0.69,23.05,23.6,0.05,0.2,,49
14,40,1.45,5.5,4.1,7.7,0.83,24.2,21.1,0,0.3,,49
16,32.5,1.15,5.25,3.7,7.45,0.4,22.5,18.9,0.05,0.4,,49
16.5,33.5,1.5,5.45,4.15,7.85,0.31,24.2,17.05,0,0.65,,49
19,36,1.35,5.6,4.05,7.75,0,24.55,18.5,0.1,0.65,0.1,49
22,35,1.65,5.85,4.45,7.65,0.09,20.35,17.3,0.1,0.45,,46
,,,,,,,,,,,,42
14.5,30.5,0.5,4.5,2.85,7.55,0,17.05,16.9,0,0.25,,42
15,29,1.6,5.2,4,7.3,0,19,9.2,0.1,0.5,,42
15,26,1.2,6.2,4.3,7.2,0,15.5,11.8,0,0.3,,35
15,26,1.1,6.3,4.3,7.3,0,15.5,12.5,0,0.4,,35
14,35.5,1.1,6,4.1,7.6,0,20.35,12.15,0.05,0.85,,35
8,28,1.62,5.45,4.2,7.55,0,20.02,14.17,0.08,0.73,,35
8,28,1.9,4,3.7,7.6,0,21.2,21.2,0,0.3,,34
11,21,1.38,2.83,2.65,7.58,0.98,22.15,30.2,0,0.23,,49
14,32.5,1.2,2.85,2.47,7.67,0.12,21.27,33.77,0,0.2,,49
16,31.5,1.8,3,3.1,7.8,1.02,21.45,38.9,0.12,0.35,,51
20,43,1.45,3.9,3.25,7.8,8.66,20.8,43.9,0.2,0.4,,183
21,44,1.65,3.25,3.1,7.9,4.91,17.2,46.45,0.1,0.45,,183
21,47,1.5,3.3,2.9,7.4,5.74,18.7,45.9,0.1,0.2,,183
18,43,1,3.7,2.8,7.5,1.76,23.3,48.4,0.1,0.2,,183
18.5,44,1.3,3.9,3.1,7.2,1.58,23.95,46.85,0.1,0.05,,183
17,45,1.57,2.73,2.72,6.92,0,20.43,43.75,0.1,0.05,,183
24,44,1.7,3.1,3,7.3,2.67,19.4,32.7,0.1,0.1,,183
20,42,0.9,3.85,2.8,7.25,2.96,19,25.1,0.05,0.15,,183
,,,,,,,,,,,,147
13,33,1.3,4.4,3.4,8.4,0,0.4,20.6,0.1,0.2,,147
25,40.25,1.7,4.4,3.7,8.55,1.88,15.4,20,0.05,0.33,,112
19,38,1.5,5.65,4.22,8.03,1.39,15.7,13.15,0.15,0.53,,112
24.75,42.25,1.82,5.82,4.58,7.15,0,16.7,16.3,0.1,0.42,,112
24,39,1.1,5.75,3.95,7.3,0,18.1,15.3,0.1,0.3,,112
16,36.5,1.25,5.4,3.95,7.55,1.91,19.5,14.5,0.1,0.35,,112
18.75,34.25,1.4,4.83,3.67,7.95,4.54,17.55,9.43,0.1,0.4,,132
27,32,1.65,5,3.95,7.65,0,19.3,13.7,0.1,0.45,,132
25.5,37.5,1.65,4.32,3.62,7.68,0.39,18.42,14.3,0.1,0.35,,132
26,40,2.6,5.6,5.1,8,0,21.9,14.3,0.1,0.8,,132
26,32,3.6,7.25,6.8,8.15,0.01,21.3,13.1,0.1,1.85,,132
17.25,47.25,2.27,6.57,5.3,9.25,1.64,23,24.75,0.1,1.95,0.28,132
27,48,1.95,5.1,4.35,8.95,0.66,22.95,28.9,0.1,1.4,0.15,132
21,43,1.55,5.4,4.15,9.2,0,18.85,41.1,0.1,1.4,0.1,132
23,38.5,1.45,4.95,3.85,8.6,2.46,18.2,41.2,0.23,1.27,0.1,106
27,42,1.1,4.5,3.3,7.7,0,17.1,43.8,0.2,1.05,,106
26,47.5,1.38,4.5,3.5,7.9,0,20.05,49.9,0.2,0.88,,106
25,50.5,1.45,4.35,3.45,7.35,0,18.45,54.6,0.2,0.45,,106
25,52,0.9,3.8,2.75,7.2,0,15.6,57.5,0.1,0.25,,106
26,59,1.1,3.7,2.9,7.7,0,21,55.7,0.2,0.2,,106
24,52,1.5,3.5,3.1,7.6,0,23.1,55.3,0.1,0.2,,106
23.75,53.75,1.6,4.38,3.67,7.58,0.48,15.82,33.1,0.12,0.15,,106
21,50.5,1.3,4.65,3.55,7.45,0.53,18.6,33,0.1,0.15,,58
22,48,1.2,4.5,3.4,8.2,0.55,17,22,0.7,0.4,,58
27,51,1.3,4.6,3.5,8,0.64,16.4,20.6,0.2,0.3,,58
26,47,1.2,5.65,4,8.1,0.57,16.55,18.2,0,0.3,,58
22,39,1.5,4.7,3.7,8.2,0.58,18.2,17.8,0,0.3,,56
25,42,1.4,5.17,3.88,8,0.55,25.38,15.95,0,0.3,,55
,,,,,,,,,,,,44
26,42.5,1.2,4.85,3.55,7.85,0.4,22.8,,0,0.3,,45
22.5,40.5,1.4,5.55,4.1,7.75,0.47,23.65,11.85,0,0.3,,45
19,37,1.2,5.5,3.9,7.6,0.26,21,13.5,0.1,0.3,,45
25,43,1.2,5.5,3.9,7.9,0.25,22,12.9,0,0.3,,45
28,48,3.05,6.95,6.2,8.2,0.12,17,12.6,0.1,1.15,0.1,46
23.5,46,2.08,5.85,4.8,8.18,0,17.02,16.9,0.08,0.72,0.1,46
,,,,,,,,,,,,46
28,38,1.8,4.7,4,8.5,0,20,30.6,0,0.4,,46
20,43,1.15,4.2,3.2,8.15,0,17.65,41.65,0.15,0.35,,46
20.25,46,1.6,4.25,3.6,7.75,,18.48,45.38,0.1,0.23,,46
24,49,1.9,3.2,3.25,8.55,0,20.2,48.8,0.1,0.2,,49
25,55,1.9,5,4.2,8.8,0,,52.1,0.1,0.2,,52
25,62,1.1,4.15,3.15,8.6,0.28,21.65,57.2,0.1,0.2,,57
26.25,61.25,1.25,3.98,3.15,8.25,0,24.08,59.85,0.1,0.15,,60
27,62,1.5,3.7,3.2,7.9,0.32,23.3,60,0.1,0.1,,60
28.75,60,1.5,3.47,3.05,8.1,0.01,22.2,58.65,0.1,0.12,,60
31,60,1.6,3.7,3.3,8.3,0.18,23.8,56.6,0.1,0.1,,60
32,61.5,1.65,4.05,3.55,8.7,0.34,25.5,50.3,0.1,0.2,,60
29,63.5,1,4.95,3.5,8.5,0.47,23.6,44.2,0.15,0.25,,60
,64,0.8,5,3.4,8.4,0.3,22.2,38.8,0.2,0.3,,60
,,,,,,,,,,,,60
24.5,51,1.6,5.4,4.2,8,0.24,20.02,29.15,0.2,0.47,,60
27,49,1.4,5.1,3.9,8.2,0,20.2,28,0.1,0.6,,59
20,47,1.38,4.53,3.58,8.1,0.11,19.02,24.4,0.1,0.53,,57
23,50,1.7,4.6,3.8,7.6,0.27,17.1,,0,0.5,,52
19,46.5,1.55,4.92,3.92,7.53,0.22,18.68,20.1,0.1,0.55,,52
17,45,1.5,5.2,4,7.4,0.16,16.1,23.3,0.2,0.5,,52
19.75,38.5,1.4,4.45,3.47,7.53,0.08,18.43,21.82,0,0.45,,52
19.5,44,1.88,5.35,4.33,7.62,0.31,20.8,20.15,0,0.47,,52
21,46.5,1.7,6.2,4.7,7.7,0.32,20.77,23.85,0.05,1.05,0.15,52
24.25,51,1.88,5.1,4.22,7.83,0.26,22.95,36.15,0.03,0.4,,52
25,51,1.58,4.67,3.82,8.1,0.22,24.77,50.33,0.12,0.42,,52
30,59,1.25,4.5,3.4,8.25,0.24,25.65,57.6,0.15,0.6,,58
29,60,,,,,0.3,24.4,61.3,0.1,0.2,,61
29,60,0.7,4.2,2.8,7.7,0.34,25.1,65.7,0.1,0.2,,66
24,58,1.7,4.2,3.6,8.3,0.41,28.8,65.9,0.1,0.3,,66
26.5,58.5,1.7,3.95,3.45,8.2,0.51,28.9,67.9,0.1,0.25,,68
,,,,,,,,,,,,68
29,59.5,1.1,4.03,3.03,7.78,0.38,26.1,68.15,0.1,0.12,,68
,,,,,,,,,,,,68
28,53,1.8,4,3.6,7.5,0,23.8,62.7,0.1,0.1,,68
29.25,57.75,1.43,4.95,3.8,8.02,0,22.23,54.7,0.1,0.2,,68
29.5,54,1.5,4.25,3.45,8.05,0.15,21,47.45,0.1,0.2,,68
29,51,1.6,4.45,3.65,8,0.56,21.4,42.45,0.1,0.2,,68
29.5,54,1.57,4.78,3.82,8.03,0.4,19.88,35.8,0.1,0.2,,68
28,54,1.5,4.7,3.7,8.4,0.46,19.7,32.3,0.1,0.2,,68
30,51,1.55,4.5,3.6,8.35,0.24,16.6,28.45,0.25,0.3,,63
28,51,1.8,5.55,4.4,7.9,0.42,16.95,22.25,0.3,0.35,,63
27,57,1.8,6.3,4.8,8.5,0.53,18.4,,0.2,1.2,0.1,55
31,62,1.27,6.4,4.43,8.97,0.03,16.82,20.5,0.1,0.6,,53
27,54.5,1.35,5.8,4.2,8,0.36,16.1,23.8,0.1,0.55,,54
26.75,49.75,0.77,5.93,3.8,7.95,0.39,16.23,25.88,0.12,0.7,,54
37.5,61,1.45,5.65,4.15,8.35,0.39,20,25,0.1,1.2,,55
32,62.25,1.27,5.88,4.2,8.28,0.34,20.88,25.77,0.2,1.58,,56
35,66,1.2,5.7,4,8,0.3,21.4,33.5,0.1,1.1,,57
26,48,1.4,4.8,3.7,8.15,0.42,21.4,41.95,0,0.7,0.1,56
27,51,1.3,5.8,4.2,7.4,0.39,21.6,51.2,0.1,1,0.1,56
22,49,0.9,4.6,3.2,7.1,0.18,23.2,53.8,0.1,0.7,,56
20.25,47.25,1,3.85,2.9,7.45,0.32,20.5,55,0.1,0.47,,55
,,,,,,,,,,,,55
19.25,51,1,4.08,2.98,7.45,0.42,20.05,59.3,0.1,0.2,,59
20.5,46.5,1.2,3.65,2.95,7.17,0.54,20.12,60,0.1,0.15,,60
21,45,1.1,3.6,2.8,7,0.61,18,58.4,0.1,0.1,,60
,,,,,,,,,,,,60
,,,,,,,,,,,,60
,,,,,,,,,,,,60
,,,,,,,,,,,,60
,,,,,,,,,,,,60
,,,,,,,,,,,,60
,,,,,,,,,,,,58
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
35.5,62.5,1.82,4.68,3.97,9,0.34,22.75,62.8,0.2,0.4,,
34,61,1.35,3.85,3.15,8.6,0.34,18.95,63.1,0.2,0.3,,
32,65,1.3,3.5,2.9,8.6,0.41,20.2,64.1,0.2,0.2,,
34.5,68.5,1.6,11.45,7.4,7.33,0.25,20,38.5,0.1,0.18,,
31,66.5,1.65,4.95,3.95,7.95,0.29,25.6,34,0.05,0.3,,
23.5,57,1.7,4.15,3.6,7.4,0.28,23.15,32.6,0,0.15,,
,,,,,,,,,,,,
,,,,,,,,,,,,
22,42,0.7,3.8,2.5,7.2,0.66,24.3,23.5,0,0.2,,
23.5,43.5,1.25,3.95,3.15,7.45,0.69,23.25,21.85,0,0.2,,
24,43,1.3,4.4,3.4,7.3,0.04,20.9,20.5,0,0.2,,
18.5,37,1.75,3.9,3.5,7.2,0,20.95,21.6,0,0.15,,
17.5,35,1.45,4,3.3,7.3,0,20.95,,0,0.1,,
21,36,1.35,3.85,3.15,7.25,0.03,22.4,11.45,0,0.15,,
12,33,1.25,4.15,3.3,7.3,0,21.7,15.3,0,0.1,,
23,31,1.6,3.9,3.4,8.3,,23.9,18.4,0,0.1,,
21,38,1.45,4.35,3.5,9.1,0.34,17.65,14.4,0.05,0.4,,
18,45.5,2.12,4.93,4.33,9.7,0.34,20.58,19.52,0.05,0.78,0.1,48
,,,,,,,,,,,,48
31,60.5,1.6,6.65,4.85,10,0.34,24.95,53,0.2,0.35,,53
41,71,1.65,5.9,4.45,9.8,0.34,23.45,57.55,0.2,0.35,,58
35,64,1.3,4.8,3.6,9.2,0.34,21,60.4,0.1,0.4,,60
35,62,0.9,5,3.4,9.3,0.34,24.1,67.15,0.1,0.45,,67
31.75,57.75,1.3,4,3.18,9.43,0.34,23.3,75.43,0.1,0.2,,75
34.5,66,1.4,4.08,3.3,9.15,0.34,23.67,77.65,0.1,0.18,,78
32.5,64,1.4,4.25,3.4,8.4,0.34,23.3,68.8,0.1,0.15,,78
29.5,62,1,4.05,3,7.85,0.34,21.3,64.3,0.1,0.1,,78
30.75,64,1.12,4.25,3.17,8.78,0.34,28.4,63.12,0.1,0.1,,78
38,73,1.3,4.4,3.4,9.1,0.34,26.1,59,0.1,0.2,,78
38,73,1.2,5.3,3.8,9.5,0.34,26.9,58.2,0.1,0.2,,78
43.75,75.75,1.45,4.6,3.62,10.43,0.34,24.27,48.9,0.2,1.18,,78
44.5,74.5,1.18,4.65,3.47,10.55,0.34,25.62,40.67,0.2,1.3,,78
43,74,1.75,4.55,3.85,10.15,0.34,23.05,34.5,0.15,0.3,,69
42,75,1.1,4.7,3.3,9.5,0.34,19.8,31.6,0,0.2,,64
39.5,78.5,1.1,5.95,4.05,10.15,0.34,19.85,30.2,0.2,1.05,0.1,63
43,73,1.45,5.7,4.2,9.3,0.34,21.4,26,0.1,0.7,,60
41.5,70.5,1.4,5.12,3.88,9.45,0.34,21.3,25.5,0.1,0.65,,62
40,67,1.55,4.8,3.85,9.35,0.21,20.35,16.05,0.1,0.6,,63
40,65,1,5.8,3.9,9.2,0.6,19.3,21.4,0.1,0.5,,65
40,75.5,0.9,5.8,3.75,9.4,0,21.1,19.5,0.1,1,,66
45,78,1.35,6.15,4.4,9.7,0,21.3,19.5,0.1,1.15,0.1,68
46.5,64.75,1.45,5.72,4.2,9.53,0.3,23.55,22.52,0.08,0.95,,69
36,67,1.7,4.5,3.85,9.1,,22.8,29.9,0,0.3,,69
35,60,1.55,6.75,4.85,9.45,,50.25,49.3,0.15,0.2,,69
34,58,1.7,5.7,4.4,8.9,0.27,42.4,60,0.1,0.2,,68
37,68,1.9,5.8,4.6,8.8,,38.1,64.1,0.3,1.5,,69
25,57,1.6,4,3.4,8.8,0,,60.6,0.1,0.2,,68
24,55,1.3,4.6,3.5,9.9,,19.7,65.3,0.1,0.2,,68
24,55,1.4,4,3.3,9.3,,25.1,66.8,0.1,0.2,,68
33,61,1.4,4.3,3.45,8.85,,29.65,75.45,0.1,0.1,,75
32,64,1.4,5.3,4,9.6,,28.1,72.3,0.1,0.1,,75
34,63,1.15,4.35,3.2,8.05,,22.55,55.25,0.1,0.1,,75
24.75,52.75,1.4,3.95,3.2,7.77,,22.95,43.02,0.1,0.12,,75
27.5,53.5,1.38,3.85,3.15,8.08,,23.08,39.45,0.18,0.18,,75
29,57.25,1.3,4.33,3.38,8.3,,21.52,34.55,0.2,0.3,,75
29,55,1.4,4.9,3.75,8.45,,21.4,25.7,0.1,0.35,,75
32.75,61,1.65,4.68,3.85,8.85,,22.02,24.25,0.1,0.48,,75
32.5,54.5,1.45,4.45,3.55,8.75,,21.9,22.55,0,0.23,,72
26.25,52,1.52,4.08,3.4,8.7,,19.65,22.9,0,0.2,,62
31.5,51,1.1,4.45,3.28,8.75,,20.25,20.25,0,0.23,,61
36,57,1.38,4.55,3.5,8.72,,20.38,22.6,0,0.35,,61
28.75,52,1.23,4.93,3.62,8.65,,20,11.4,0.08,0.25,,60
29.5,60,1.27,5.53,4,8.6,,19.98,15.9,0.1,0.5,,60
32.75,56.75,1,5.9,3.95,8.62,,21.95,17.48,0.1,0.47,,59
27.5,53,1.55,5.92,4.43,8.82,,17.88,16.9,0.1,0.72,,58
25.25,51.75,1.68,5.45,4.28,9.45,,18.77,21.65,0.1,0.65,,57
22,58.75,1.77,5.5,4.35,10.03,,19.25,30.33,0.08,0.62,0.1,57
21.5,62,2.12,3.92,3.8,9.55,,18.62,36.8,0,0.25,,57
29,57,1.85,3.88,3.55,9,,17.85,40.18,0.07,0.2,,57
28.25,61.75,1.45,3.9,3.25,8.75,,17.77,44.28,0.17,0.2,,57
27,67.75,0.9,3.88,2.77,9,,17.85,50,0.1,0.3,,57
30.25,68.5,1.2,3.72,2.98,8.57,,24.65,53.25,0.1,0.2,,58
31,64,1.2,3.47,2.83,8.45,,24.75,55.15,0.1,0.15,,58
27,59,1.5,3.38,3.05,8.32,,24.88,52.2,0.1,0.1,,58
29,59,1.45,3.33,2.95,8.05,,21.6,45.17,0.1,0.1,,58
29.5,57.75,1.58,3.17,3,8.05,,21.62,42.7,0.1,0.1,,58
32.25,64.5,1.12,3.67,2.88,8.48,,21.9,42.02,0.1,0.1,,58
36.5,70.25,0.93,3.85,2.77,8.38,,20.62,35.42,0.12,0.2,,59
37.25,72.5,1.07,4.2,3.1,8.65,,20.6,28.92,0,0.23,,59
34,67.25,1.32,4.78,3.65,8.5,,20.27,24.4,0,0.33,,60
30,61.5,1.42,3.77,3.17,8.28,,19.62,22.23,0,0.2,,60
29.75,53,1.43,3.5,3.02,8.15,,20.05,20.9,0,0.1,,60
35.25,57.5,1.48,3.7,3.12,8.28,,24.77,19.15,0,0.15,,60
27,53,1.1,4.58,3.3,7.97,,24.55,17.47,0.08,0.2,,60
29.25,57,1.07,4.05,3,8.25,,25.4,17.05,0,0.15,,60
24.75,45.25,1.23,3.85,3,8.4,,24.75,13.15,0,0.2,,60
19.25,38,1.38,4.32,3.4,8.93,,26.12,14.65,0,0.45,,59
24.75,44,1.38,4.28,3.42,9.78,,25.6,16.58,0.08,0.62,,58
30.25,54.75,1.5,4.03,3.38,11,,19.65,17.8,0.1,0.78,,59
31,60,1.43,4.08,3.38,11.32,,21.12,21.3,0.1,0.55,,59
,,,,,,,,,,,,59
,,,,,,,,,,,,59
,,,,,,,,,,,,59
,,,,,,,,,,,,59
,,,,,,,,,,,,58
,,,,,,,,,,,,58
,,,,,,,,,,,,57
,,,,,,,,,,,,57
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
40,68,2.1,4.4,4,8.6,,44,25.1,0,0.3,,
38.5,63.5,1.27,4,3.15,8.35,,46.5,25,0.1,0.25,,
36.5,60.75,1.25,3.8,3.02,8.32,,45.6,23.4,0,0.2,,
35.75,65,1.7,4.2,3.6,8.5,,45,22.45,0.08,0.3,,
37.75,61.25,1.3,3.97,3.15,8.33,,21.5,24.35,0.03,0.2,,
36.25,58.25,1.42,3.27,2.92,8.3,,20.18,24.8,0,0.1,,
34,56,1.12,3.25,2.62,8.18,,20.5,25.3,0,0.1,,
34.5,54.25,1.5,3.03,2.8,8.27,,19.98,16.55,0,0.12,,
36.25,50,1.62,3.38,3.12,8.45,,21.23,22.5,0.03,0.33,,
34.5,50.75,1,3.62,2.77,8.5,,21.3,20.4,0,0.25,,
